date,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter,is_weekend
2026-02-14 12:55:38.070567,2026,2,February,14,5,Saturday,7,1,True
2026-02-15 12:55:38.070567,2026,2,February,15,6,Sunday,7,1,True
2026-02-16 12:55:38.070567,2026,2,February,16,0,Monday,8,1,False
2026-02-17 12:55:38.070567,2026,2,February,17,1,Tuesday,8,1,False
2026-02-18 12:55:38.070567,2026,2,February,18,2,Wednesday,8,1,False
2026-02-19 12:55:38.070567,2026,2,February,19,3,Thursday,8,1,False
2026-02-20 12:55:38.070567,2026,2,February,20,4,Friday,8,1,False
2026-02-21 12:55:38.070567,2026,2,February,21,5,Saturday,8,1,True
2026-02-22 12:55:38.070567,2026,2,February,22,6,Sunday,8,1,True
2026-02-23 12:55:38.070567,2026,2,February,23,0,Monday,9,1,False
2026-02-24 12:55:38.070567,2026,2,February,24,1,Tuesday,9,1,False
2026-02-25 12:55:38.070567,2026,2,February,25,2,Wednesday,9,1,False
2026-02-26 12:55:38.070567,2026,2,February,26,3,Thursday,9,1,False
2026-02-27 12:55:38.070567,2026,2,February,27,4,Friday,9,1,False
2026-02-28 12:55:38.070567,2026,2,February,28,5,Saturday,9,1,True
2026-03-01 12:55:38.070567,2026,3,March,1,6,Sunday,9,1,True
2026-03-02 12:55:38.070567,2026,3,March,2,0,Monday,10,1,False
2026-03-03 12:55:38.070567,2026,3,March,3,1,Tuesday,10,1,False
2026-03-04 12:55:38.070567,2026,3,March,4,2,Wednesday,10,1,False
2026-03-05 12:55:38.070567,2026,3,March,5,3,Thursday,10,1,False
2026-03-06 12:55:38.070567,2026,3,March,6,4,Friday,10,1,False
2026-03-07 12:55:38.070567,2026,3,March,7,5,Saturday,10,1,True
2026-03-08 12:55:38.070567,2026,3,March,8,6,Sunday,10,1,True
2026-03-09 12:55:38.070567,2026,3,March,9,0,Monday,11,1,False
2026-03-10 12:55:38.070567,2026,3,March,10,1,Tuesday,11,1,False
2026-03-11 12:55:38.070567,2026,3,March,11,2,Wednesday,11,1,False
2026-03-12 12:55:38.070567,2026,3,March,12,3,Thursday,11,1,False
2026-03-13 12:55:38.070567,2026,3,March,13,4,Friday,11,1,False
2026-03-14 12:55:38.070567,2026,3,March,14,5,Saturday,11,1,True
2026-03-15 12:55:38.070567,2026,3,March,15,6,Sunday,11,1,True
